DateID,FullDate,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,GermanDayNameOfWeek,DayNameofWeekAbbr,MonthNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,GermanMonthName,MonthNameAbbr,CalendarYear,CalendarQuarter,CalendarSemester
20010215,2001-02-15,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010216,2001-02-16,5,Friday,Viernes,Vendredi,Freitag,Fri,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010217,2001-02-17,6,Saturday,Sábado,Samedi,Samstag,Sat,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010218,2001-02-18,7,Sunday,Domingo,Dimanche,Sonntag,Sun,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010219,2001-02-19,1,Monday,Lunes,Lundi,Montag,Mon,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010220,2001-02-20,2,Tuesday,Martes,Mardi,Dienstag,Tue,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010221,2001-02-21,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010222,2001-02-22,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010223,2001-02-23,5,Friday,Viernes,Vendredi,Freitag,Fri,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010224,2001-02-24,6,Saturday,Sábado,Samedi,Samstag,Sat,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010225,2001-02-25,7,Sunday,Domingo,Dimanche,Sonntag,Sun,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010226,2001-02-26,1,Monday,Lunes,Lundi,Montag,Mon,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010227,2001-02-27,2,Tuesday,Martes,Mardi,Dienstag,Tue,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010228,2001-02-28,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,2,February,Febrero,Février,Februar,Feb,2001,1,1
20010301,2001-03-01,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010302,2001-03-02,5,Friday,Viernes,Vendredi,Freitag,Fri,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010303,2001-03-03,6,Saturday,Sábado,Samedi,Samstag,Sat,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010304,2001-03-04,7,Sunday,Domingo,Dimanche,Sonntag,Sun,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010305,2001-03-05,1,Monday,Lunes,Lundi,Montag,Mon,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010306,2001-03-06,2,Tuesday,Martes,Mardi,Dienstag,Tue,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010307,2001-03-07,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010308,2001-03-08,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010309,2001-03-09,5,Friday,Viernes,Vendredi,Freitag,Fri,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010310,2001-03-10,6,Saturday,Sábado,Samedi,Samstag,Sat,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010311,2001-03-11,7,Sunday,Domingo,Dimanche,Sonntag,Sun,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010312,2001-03-12,1,Monday,Lunes,Lundi,Montag,Mon,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010313,2001-03-13,2,Tuesday,Martes,Mardi,Dienstag,Tue,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010314,2001-03-14,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010315,2001-03-15,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010316,2001-03-16,5,Friday,Viernes,Vendredi,Freitag,Fri,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010317,2001-03-17,6,Saturday,Sábado,Samedi,Samstag,Sat,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010318,2001-03-18,7,Sunday,Domingo,Dimanche,Sonntag,Sun,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010319,2001-03-19,1,Monday,Lunes,Lundi,Montag,Mon,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010320,2001-03-20,2,Tuesday,Martes,Mardi,Dienstag,Tue,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010321,2001-03-21,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010322,2001-03-22,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010323,2001-03-23,5,Friday,Viernes,Vendredi,Freitag,Fri,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010324,2001-03-24,6,Saturday,Sábado,Samedi,Samstag,Sat,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010325,2001-03-25,7,Sunday,Domingo,Dimanche,Sonntag,Sun,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010326,2001-03-26,1,Monday,Lunes,Lundi,Montag,Mon,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010327,2001-03-27,2,Tuesday,Martes,Mardi,Dienstag,Tue,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010328,2001-03-28,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010329,2001-03-29,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010330,2001-03-30,5,Friday,Viernes,Vendredi,Freitag,Fri,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010331,2001-03-31,6,Saturday,Sábado,Samedi,Samstag,Sat,3,March,Marzo,Mars,Marz,Mar,2001,1,1
20010401,2001-04-01,7,Sunday,Domingo,Dimanche,Sonntag,Sun,4,April,Abril,Avril,April,Apr,2001,2,1
20010402,2001-04-02,1,Monday,Lunes,Lundi,Montag,Mon,4,April,Abril,Avril,April,Apr,2001,2,1
20010403,2001-04-03,2,Tuesday,Martes,Mardi,Dienstag,Tue,4,April,Abril,Avril,April,Apr,2001,2,1
20010404,2001-04-04,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,4,April,Abril,Avril,April,Apr,2001,2,1
20010405,2001-04-05,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,4,April,Abril,Avril,April,Apr,2001,2,1
20010406,2001-04-06,5,Friday,Viernes,Vendredi,Freitag,Fri,4,April,Abril,Avril,April,Apr,2001,2,1
20010407,2001-04-07,6,Saturday,Sábado,Samedi,Samstag,Sat,4,April,Abril,Avril,April,Apr,2001,2,1
20010408,2001-04-08,7,Sunday,Domingo,Dimanche,Sonntag,Sun,4,April,Abril,Avril,April,Apr,2001,2,1
20010409,2001-04-09,1,Monday,Lunes,Lundi,Montag,Mon,4,April,Abril,Avril,April,Apr,2001,2,1
20010410,2001-04-10,2,Tuesday,Martes,Mardi,Dienstag,Tue,4,April,Abril,Avril,April,Apr,2001,2,1
20010411,2001-04-11,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,4,April,Abril,Avril,April,Apr,2001,2,1
20010412,2001-04-12,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,4,April,Abril,Avril,April,Apr,2001,2,1
20010413,2001-04-13,5,Friday,Viernes,Vendredi,Freitag,Fri,4,April,Abril,Avril,April,Apr,2001,2,1
20010414,2001-04-14,6,Saturday,Sábado,Samedi,Samstag,Sat,4,April,Abril,Avril,April,Apr,2001,2,1
20010415,2001-04-15,7,Sunday,Domingo,Dimanche,Sonntag,Sun,4,April,Abril,Avril,April,Apr,2001,2,1
20010416,2001-04-16,1,Monday,Lunes,Lundi,Montag,Mon,4,April,Abril,Avril,April,Apr,2001,2,1
20010417,2001-04-17,2,Tuesday,Martes,Mardi,Dienstag,Tue,4,April,Abril,Avril,April,Apr,2001,2,1
20010418,2001-04-18,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,4,April,Abril,Avril,April,Apr,2001,2,1
20010419,2001-04-19,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,4,April,Abril,Avril,April,Apr,2001,2,1
20010420,2001-04-20,5,Friday,Viernes,Vendredi,Freitag,Fri,4,April,Abril,Avril,April,Apr,2001,2,1
20010421,2001-04-21,6,Saturday,Sábado,Samedi,Samstag,Sat,4,April,Abril,Avril,April,Apr,2001,2,1
20010422,2001-04-22,7,Sunday,Domingo,Dimanche,Sonntag,Sun,4,April,Abril,Avril,April,Apr,2001,2,1
20010423,2001-04-23,1,Monday,Lunes,Lundi,Montag,Mon,4,April,Abril,Avril,April,Apr,2001,2,1
20010424,2001-04-24,2,Tuesday,Martes,Mardi,Dienstag,Tue,4,April,Abril,Avril,April,Apr,2001,2,1
20010425,2001-04-25,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,4,April,Abril,Avril,April,Apr,2001,2,1
20010426,2001-04-26,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,4,April,Abril,Avril,April,Apr,2001,2,1
20010427,2001-04-27,5,Friday,Viernes,Vendredi,Freitag,Fri,4,April,Abril,Avril,April,Apr,2001,2,1
20010428,2001-04-28,6,Saturday,Sábado,Samedi,Samstag,Sat,4,April,Abril,Avril,April,Apr,2001,2,1
20010429,2001-04-29,7,Sunday,Domingo,Dimanche,Sonntag,Sun,4,April,Abril,Avril,April,Apr,2001,2,1
20010430,2001-04-30,1,Monday,Lunes,Lundi,Montag,Mon,4,April,Abril,Avril,April,Apr,2001,2,1
20010501,2001-05-01,2,Tuesday,Martes,Mardi,Dienstag,Tue,5,May,Mayo,Mai,Mai,May,2001,2,1
20010502,2001-05-02,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,5,May,Mayo,Mai,Mai,May,2001,2,1
20010503,2001-05-03,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,5,May,Mayo,Mai,Mai,May,2001,2,1
20010504,2001-05-04,5,Friday,Viernes,Vendredi,Freitag,Fri,5,May,Mayo,Mai,Mai,May,2001,2,1
20010505,2001-05-05,6,Saturday,Sábado,Samedi,Samstag,Sat,5,May,Mayo,Mai,Mai,May,2001,2,1
20010506,2001-05-06,7,Sunday,Domingo,Dimanche,Sonntag,Sun,5,May,Mayo,Mai,Mai,May,2001,2,1
20010507,2001-05-07,1,Monday,Lunes,Lundi,Montag,Mon,5,May,Mayo,Mai,Mai,May,2001,2,1
20010508,2001-05-08,2,Tuesday,Martes,Mardi,Dienstag,Tue,5,May,Mayo,Mai,Mai,May,2001,2,1
20010509,2001-05-09,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,5,May,Mayo,Mai,Mai,May,2001,2,1
20010510,2001-05-10,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,5,May,Mayo,Mai,Mai,May,2001,2,1
20010511,2001-05-11,5,Friday,Viernes,Vendredi,Freitag,Fri,5,May,Mayo,Mai,Mai,May,2001,2,1
20010512,2001-05-12,6,Saturday,Sábado,Samedi,Samstag,Sat,5,May,Mayo,Mai,Mai,May,2001,2,1
20010513,2001-05-13,7,Sunday,Domingo,Dimanche,Sonntag,Sun,5,May,Mayo,Mai,Mai,May,2001,2,1
20010514,2001-05-14,1,Monday,Lunes,Lundi,Montag,Mon,5,May,Mayo,Mai,Mai,May,2001,2,1
20010515,2001-05-15,2,Tuesday,Martes,Mardi,Dienstag,Tue,5,May,Mayo,Mai,Mai,May,2001,2,1
20010516,2001-05-16,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,5,May,Mayo,Mai,Mai,May,2001,2,1
20010517,2001-05-17,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,5,May,Mayo,Mai,Mai,May,2001,2,1
20010518,2001-05-18,5,Friday,Viernes,Vendredi,Freitag,Fri,5,May,Mayo,Mai,Mai,May,2001,2,1
20010519,2001-05-19,6,Saturday,Sábado,Samedi,Samstag,Sat,5,May,Mayo,Mai,Mai,May,2001,2,1
